epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5443,0,71.4771,0,0.00585,1,0.4975,0.24875,1.34987,4.71085,2.38427,0,0,0
2,7.81503,0,71.4634,0,0.00575,1,0.4975,0.24875,1.25356,4.62759,2.30649,1.6505e-05,1.6505e-05,1.6505e-05
3,11.0885,0,71.35,0,0.00592,1,0.4975,0.24875,1.18188,4.61011,2.26313,3.26799e-05,3.26799e-05,3.26799e-05
4,14.5084,0,70.9192,0,0.00581,1,0.24875,0.13012,1.17965,4.65333,2.19742,4.85247e-05,4.85247e-05,4.85247e-05
5,17.6275,0,70.4051,0,0.00568,1,0.4975,0.25413,1.21403,4.41031,2.20181,6.40395e-05,6.40395e-05,6.40395e-05
6,20.9593,0,70.0635,0,0.00541,1,0.4975,0.25838,1.20145,4.11746,2.17305,7.92242e-05,7.92242e-05,7.92242e-05
7,24.1632,0,69.7268,0,0.00541,1,0.4975,0.25981,1.32434,4.15227,2.19583,9.40788e-05,9.40788e-05,9.40788e-05
8,27.3689,0,69.2161,0,0.00529,1,0.995,0.50816,1.40689,4.40603,2.2997,0.000108603,0.000108603,0.000108603
9,30.6062,0,68.8082,0,0.00521,1,0.4975,0.24875,1.38262,4.6543,2.35828,0.000122798,0.000122798,0.000122798
10,34.0214,0,68.4613,0,0.00515,1,0.4975,0.24875,1.52151,4.25022,2.49905,0.000136662,0.000136662,0.000136662
11,37.2371,0,67.909,0,0.00538,1,0.33167,0.16583,1.79368,4.60498,2.52843,0.000150197,0.000150197,0.000150197
12,40.4459,0,67.368,0,0.00524,1,0.995,0.40093,1.72981,4.35185,2.53519,0.000163401,0.000163401,0.000163401
13,43.6883,0,66.7516,0,0.00488,1,0.995,0.398,1.73356,4.20104,2.54708,0.000176275,0.000176275,0.000176275
14,47.0271,0,65.9957,0,0.00498,1,0.995,0.40069,1.76779,4.00579,2.47005,0.000188819,0.000188819,0.000188819
15,50.2085,0,65.3954,0,0.0049,1,0.995,0.39946,1.75717,3.99227,2.40062,0.000201034,0.000201034,0.000201034
16,53.4205,0,64.5807,0,0.00465,1,0.33167,0.16866,1.70066,4.05506,2.25699,0.000212918,0.000212918,0.000212918
17,56.7797,0,63.7592,0,0.00465,1,0.995,0.30371,1.64041,3.97314,2.20985,0.000224472,0.000224472,0.000224472
18,59.8543,0,62.9751,0,0.00465,1,0.995,0.30371,1.64041,3.97314,2.20985,0.000235695,0.000235695,0.000235695
19,63.0374,0,62.9895,0,0.00461,1,0.995,0.16668,1.65214,4.03197,2.11912,0.000246589,0.000246589,0.000246589
20,66.1054,0,61.8427,0,0.00461,1,0.995,0.16668,1.65214,4.03197,2.11912,0.000257153,0.000257153,0.000257153
21,69.3604,0,61.8329,0,0.00463,1,0.995,0.13586,1.58524,4.03499,2.03715,0.000267387,0.000267387,0.000267387
22,72.3473,0,60.9511,0,0.00463,1,0.995,0.13586,1.58524,4.03499,2.03715,0.00027729,0.00027729,0.00027729
23,75.5893,0,61.1657,0,0.00441,1,0.16583,0.07219,1.64483,4.13576,2.08024,0.000286864,0.000286864,0.000286864
24,78.6242,0,59.8651,0,0.00441,1,0.16583,0.07219,1.64483,4.13576,2.08024,0.000296108,0.000296108,0.000296108
25,81.7851,0,59.656,0,0.0042,1,0.199,0.10066,1.70372,3.99511,2.19953,0.000305021,0.000305021,0.000305021
26,84.9707,0,58.6752,0,0.0042,1,0.199,0.10066,1.70372,3.99511,2.19953,0.000313604,0.000313604,0.000313604
27,88.092,0,58.6665,0,0.00397,1,0.33167,0.14314,1.85137,3.95145,2.39989,0.000321858,0.000321858,0.000321858
28,91.1716,0,57.7701,0,0.00397,1,0.33167,0.14314,1.85137,3.95145,2.39989,0.000329781,0.000329781,0.000329781
29,94.2325,0,57.4786,0,0.00383,1,0.16583,0.10282,1.64948,4.33558,2.15338,0.000337374,0.000337374,0.000337374
30,97.1884,0,56.5206,0,0.00383,1,0.16583,0.10282,1.64948,4.33558,2.15338,0.000344637,0.000344637,0.000344637
31,100.303,0,57.1608,0,0.00364,1,0.24875,0.1299,1.71083,4.19478,2.09802,0.00035157,0.00035157,0.00035157
32,103.178,0,55.6766,0,0.00364,1,0.24875,0.1299,1.71083,4.19478,2.09802,0.000358173,0.000358173,0.000358173
33,106.375,0,55.3271,0,0.00352,1,0.16583,0.08378,1.7384,3.85755,2.16143,0.000364446,0.000364446,0.000364446
34,109.227,0,54.444,0,0.00352,1,0.16583,0.08378,1.7384,3.85755,2.16143,0.000370389,0.000370389,0.000370389
35,112.422,0,54.872,0,0.00348,1,0.12437,0.05011,1.73483,4.29364,2.31796,0.000376002,0.000376002,0.000376002
36,115.484,0,53.9906,0,0.00348,1,0.12437,0.05011,1.73483,4.29364,2.31796,0.000381285,0.000381285,0.000381285
37,118.671,0,53.9192,0,0.00337,1,0.33167,0.10354,1.9109,4.28787,2.94081,0.000386237,0.000386237,0.000386237
38,121.68,0,52.7824,0,0.00337,1,0.33167,0.10354,1.9109,4.28787,2.94081,0.00039086,0.00039086,0.00039086
39,124.725,0,52.7742,0,0.00338,1,0.33167,0.13454,1.80284,4.1935,2.9902,0.000395152,0.000395152,0.000395152
40,127.603,0,52.2573,0,0.00338,1,0.33167,0.13454,1.80284,4.1935,2.9902,0.000399115,0.000399115,0.000399115
41,130.683,0,52.5962,0,0.00325,1,0.12437,0.05174,1.64947,4.91943,2.56253,0.000402747,0.000402747,0.000402747
42,133.643,0,51.484,0,0.00325,1,0.12437,0.05174,1.64947,4.91943,2.56253,0.00040605,0.00040605,0.00040605
43,136.696,0,51.395,0,0.00324,1,0.16583,0.05312,1.7035,3.88252,2.57872,0.000409022,0.000409022,0.000409022
44,139.61,0,51.0853,0,0.00324,1,0.16583,0.05312,1.7035,3.88252,2.57872,0.000411664,0.000411664,0.000411664
45,142.988,0,51.1466,0,0.00323,1,0.199,0.06251,1.77233,4.17741,2.61153,0.000413976,0.000413976,0.000413976
46,146.143,0,50.5194,0,0.00323,1,0.199,0.06251,1.77233,4.17741,2.61153,0.000415958,0.000415958,0.000415958
47,149.381,0,50.6003,0,0.00322,1,0.24875,0.07857,2.15707,4.59845,2.81325,0.00041761,0.00041761,0.00041761
48,152.338,0,50.8137,0,0.00322,1,0.24875,0.07857,2.15707,4.59845,2.81325,0.000418932,0.000418932,0.000418932
49,155.586,0,50.3487,0,0.00328,1,0.199,0.0597,2.44842,4.78452,2.97688,0.000419924,0.000419924,0.000419924
50,158.687,0,49.8993,0,0.00328,1,0.199,0.0597,2.44842,4.78452,2.97688,0.000420586,0.000420586,0.000420586
51,161.876,0,49.7121,0,0.00328,1,0.16583,0.03317,2.86236,4.92957,3.252,0.000420918,0.000420918,0.000420918
