epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.56615,1.13616,2.84622,1.47099,0.00408,1,0.41458,0.29021,1.16361,3.23272,1.59647,0,0,0
2,8.33155,1.01606,2.78833,1.35746,0.00408,1,0.41458,0.29021,1.16954,3.22007,1.56817,1.63399e-05,1.63399e-05,1.63399e-05
3,11.0035,1.1558,2.82696,1.40269,0.00409,1,0.41458,0.29021,1.11956,3.18999,1.52055,3.20197e-05,3.20197e-05,3.20197e-05
4,13.765,0.95895,2.72771,1.22368,0.00397,1,0.41458,0.29021,1.02371,3.14577,1.42839,4.70394e-05,4.70394e-05,4.70394e-05
5,16.5521,0.71355,2.67893,1.11385,0.00392,1,0.4975,0.398,0.85515,3.10587,1.30172,6.13989e-05,6.13989e-05,6.13989e-05
6,19.3259,0.74557,2.59144,1.09227,0.00387,1,0.4975,0.42288,0.66389,3.0684,1.12687,7.50984e-05,7.50984e-05,7.50984e-05
7,21.9893,0.75346,2.68272,1.23998,0.00378,1,0.74625,0.67162,0.54492,3.04615,1.0015,8.81376e-05,8.81376e-05,8.81376e-05
8,24.7195,0.6731,2.50281,1.07742,0.00367,1,0.74625,0.67162,0.47068,3.04262,0.94449,0.000100517,0.000100517,0.000100517
9,27.4537,0.59685,2.90917,1.24449,0.0036,1,0.74625,0.67162,0.47214,3.00288,0.89304,0.000112236,0.000112236,0.000112236
10,30.1993,0.8406,2.40319,1.10387,0.00353,1,0.74625,0.67162,0.45226,2.9728,0.8598,0.000123295,0.000123295,0.000123295
11,32.8175,0.72539,2.10248,1.01464,0.00343,1,0.74625,0.67162,0.45067,2.94184,0.87198,0.000133693,0.000133693,0.000133693
12,35.3888,0.62291,1.90281,0.93995,0.0034,1,0.74625,0.72137,0.45344,2.91193,0.90141,0.000143432,0.000143432,0.000143432
13,38.0016,0.63037,1.97882,1.07292,0.00336,1,0.74625,0.67162,0.50552,2.83033,0.92523,0.00015251,0.00015251,0.00015251
14,40.8019,0.69919,1.997,1.22099,0.00335,1,0.74625,0.67162,0.50265,2.79722,0.93515,0.000160929,0.000160929,0.000160929
15,43.4674,0.55186,1.7419,1.02853,0.00334,1,0.74625,0.67162,0.51125,2.74962,0.95581,0.000168687,0.000168687,0.000168687
